Epoch,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,LR,Tempo Treino
1,1.2217534114696362,74.51851851851852,0.8743481349945068,77.66666666666667,0.0009984602081996976,16.58716320991516
2,1.2105667036551016,73.87962962962963,0.8060068432490031,80.08333333333333,0.0009938503261272714,33.007359743118286
3,1.199119738649439,74.53703703703704,0.8060219558080037,79.91666666666667,0.0009861987752386395,49.156177282333374
4,1.1923079764401472,74.79629629629629,0.8312004709243774,78.58333333333333,0.0009755527298894294,65.4791157245636
5,1.1586676906656337,74.86111111111111,0.7785221680005392,80.33333333333333,0.0009619778264893878,81.99405264854431
6,1.1670670747756957,74.72222222222223,0.7879670238494874,79.33333333333333,0.0009455577588320898,97.93089056015015
7,1.1517453958370067,75.08333333333333,0.8148232626914979,79.0,0.0009263937620948692,114.17971777915955
8,1.1621875123624448,74.60185185185185,0.7751753870646159,80.58333333333333,0.0009046039886902864,131.06499648094177
9,1.1517796110223841,74.83333333333333,0.7760043764114379,80.41666666666667,0.0008803227798172156,147.08842182159424
10,1.1323738771014744,75.55555555555556,0.7653983640670776,79.66666666666667,0.0008536998372026805,163.51580834388733
11,1.1294343434439764,75.11111111111111,0.7616733320554098,79.91666666666667,0.0008248993001409269,179.50550532341003
12,1.1260386258584483,75.11111111111111,0.8013698895772298,79.16666666666667,0.0007940987335200904,195.9200999736786
13,1.1164351458902713,75.27777777777777,0.7576917918523153,79.75,0.0007614880330756164,211.8555450439453
14,1.1276280386359603,74.99074074074075,0.7708345802625021,79.75,0.0007272682546199036,228.27900290489197
